term,df,sumsq,meansq,statistic,p.value,Protein,p_adj_FDR
df$group,4,1619406.585,404851.6461,2.765268049,0.03279077,HVEM,0.147558464
df$group,4,2404362.43,601090.6075,2.760816098,0.033010161,STK16,0.147998589
df$group,4,20169556.31,5042389.078,2.759317473,0.033084341,NAD.P.H.dehydrogenase,0.147998589
df$group,4,62280.66857,15570.16714,2.751701193,0.033463898,IL.1a,0.148815921
df$group,4,4354353.683,1088588.421,2.752476331,0.033425072,FKBP7,0.148815921
df$group,4,54012.43425,13503.10856,2.743188268,0.033893253,CD83.1,0.150283282
df$group,4,18826426.41,4706606.602,2.739305136,0.034090913,Desmoglein.1,0.150717719
df$group,4,1098955137,274738784.3,2.723804599,0.034891376,contactin.1,0.153806883
df$group,4,154901.461,38725.36525,2.721709265,0.035001002,BPTF,0.153841612
df$group,4,44507142573,11126785643,2.710539282,0.03559119,BLVRB,0.155718161
df$group,4,11131604886,2782901221,2.709737745,0.035633918,Transketolase,0.155718161
df$group,4,1598504.435,399626.1088,2.686041886,0.036920315,DJB12,0.160874689
df$group,4,111059.7125,27764.92813,2.674588951,0.037558458,PARP.BRCT.domain,0.163185023
df$group,4,10470226.23,2617556.558,2.663195649,0.038204113,HMGB3,0.163651438
df$group,4,13213237.54,3303309.384,2.663145433,0.038206983,iC3b,0.163651438
df$group,4,4997341.772,1249335.443,2.667387922,0.03796527,DC.SIGN,0.163651438
df$group,4,15533321740,3883330435,2.665714086,0.038060454,Myokinase..human,0.163651438
df$group,4,161497.2177,40374.30441,2.670078549,0.037812759,Tankyrase.1,0.163651438
df$group,4,1307158.111,326789.5277,2.646307287,0.039181437,DUS6,0.167351221
df$group,4,32400693.29,8100173.322,2.641419266,0.039468893,M3K11,0.168104132
df$group,4,61966.26384,15491.56596,2.608016375,0.041489882,B7.2,0.176215455
df$group,4,7787419.961,1946854.99,2.602340314,0.041843331,HOME2,0.176723789
df$group,4,24339.93598,6084.983995,2.603263709,0.041785629,FGFR.2,0.176723789
df$group,4,100598.0275,25149.50688,2.595606372,0.042266515,Somatostatin.28,0.178013846
df$group,4,1111288547,277822136.8,2.590364464,0.042598859,VAP.1,0.1784196
df$group,4,1131673.263,282918.3158,2.591512794,0.042525834,RGMB,0.1784196
df$group,4,329870716.9,82467679.24,2.585390044,0.042916632,DHR11,0.179253999
df$group,4,178961.4607,44740.36517,2.568496883,0.044013367,ZN410,0.1823692
df$group,4,9746088.753,2436522.188,2.568330421,0.044024311,TrkC,0.1823692
df$group,4,59874354.45,14968588.61,2.571193352,0.043836469,DR6,0.1823692
df$group,4,3864169.904,966042.4759,2.563203322,0.044362696,kallikrein.8,0.182769474
df$group,4,542887.7698,135721.9425,2.564200048,0.044296713,CD69,0.182769474
df$group,4,1187872356,296968088.9,2.556186451,0.044829971,Factor.D,0.184192706
df$group,4,41420.99765,10355.24941,2.552786331,0.045058139,ELL3,0.184628473
df$group,4,399957.6861,99989.42154,2.547107284,0.045441795,UGT.1A1,0.185697283
df$group,4,21103808.52,5275952.131,2.540794708,0.045872035,Protein.S,0.186950178
df$group,4,148676072.8,37169018.2,2.534909883,0.046276738,MMP.7,0.188092549
df$group,4,6686.059583,1671.514896,2.531075418,0.04654233,IL.4,0.188664888
df$group,4,92312575.9,23078143.98,2.51577064,0.047617463,PECI,0.191988428
df$group,4,2054458.064,513614.5159,2.51689207,0.04753786,RL11,0.191988428
df$group,4,1305217066,326304266.5,2.51400368,0.047743154,TRYB1,0.191988428
df$group,4,491300.4794,122825.1198,2.50370957,0.048481948,B7.H1,0.194430895
df$group,4,345413.7387,86353.43467,2.50197247,0.048607724,Nr.CAM,0.194430895
df$group,4,176719.4868,44179.8717,2.493224246,0.049246046,PTH2R,0.196464437
df$group,4,5253952.297,1313488.074,2.486283165,0.049758378,PCD17,0.197616041
df$group,4,52352663.36,13088165.84,2.485774812,0.049796106,sTie.1,0.197616041
df$group,4,651340466.9,162835116.7,2.482224848,0.050060356,ACYP2,0.198144656
df$group,4,9548.689635,2387.172409,2.466340078,0.051259792,HNF1A,0.201454603
df$group,4,56280.26209,14070.06552,2.4658622,0.051296311,KAP2,0.201454603
df$group,4,3997004990,999251247.5,2.467630689,0.051161293,ECM1,0.201454603
df$group,4,21747677.45,5436919.362,2.463678901,0.051463482,SLIT2,0.201587524
df$group,4,13529578.9,3382394.724,2.458987214,0.051824531,MP2K2,0.20223704
df$group,4,215592564.9,53898141.23,2.458051889,0.051896806,Tenascin.X,0.20223704
df$group,4,1981644.998,495411.2494,2.447875632,0.052689595,BCL7A,0.204798631
df$group,4,2761423.102,690355.7754,2.444454694,0.052958772,NCAM2.1,0.205317085
df$group,4,28394.38995,7098.597489,2.436451648,0.053593787,DDIT3,0.207247585
df$group,4,55230.80518,13807.70129,2.424491003,0.054556803,TIRP,0.20989793
df$group,4,132114350.8,33028587.7,2.42539107,0.054483746,MMP.2,0.20989793
df$group,4,38756029.54,9689007.386,2.421005127,0.054840657,Ephrin.A1,0.210454501
df$group,4,1657899.218,414474.8045,2.415642336,0.055280184,IL.13,0.211604147
df$group,4,203539718.3,50884929.57,2.406986802,0.055996891,INHBC,0.21380631
df$group,4,300276.5982,75069.14954,2.39950262,0.056623958,PAX4,0.215655982
df$group,4,268166.109,67041.52724,2.383180132,0.058015563,NCF4,0.218207788
df$group,4,192911788.2,48227947.05,2.384302104,0.057918842,NCF.1,0.218207788
df$group,4,21422902939,5355725735,2.384175809,0.057929721,MAOM,0.218207788
df$group,4,432275.5644,108068.8911,2.385292228,0.057833618,NTNG1,0.218207788
df$group,4,203443473.6,50860868.41,2.389635125,0.057461262,FAM3B.1,0.218207788
df$group,4,58905214.01,14726303.5,2.369050623,0.059247264,Calponin.1,0.220644984
df$group,4,37330898.05,9332724.512,2.370331079,0.059134595,SOD,0.220644984
df$group,4,11819220.69,2954805.171,2.369541315,0.059204063,Protease.nexin.I.1,0.220644984
df$group,4,5251017982,1312754495,2.373285727,0.058875413,C3a,0.220644984
df$group,4,41118.78756,10279.69689,2.364356198,0.059662137,MPPD2,0.221644108
df$group,4,6437.51645,1609.379112,2.360242151,0.060028061,BLK,0.22214528
df$group,4,44668107.12,11167026.78,2.35953829,0.060090886,HTRA2,0.22214528
df$group,4,19085976.85,4771494.212,2.348490154,0.061085505,PACN1,0.22321822
df$group,4,1631844.054,407961.0134,2.350375374,0.060914652,CD46,0.22321822
df$group,4,3304898.16,826224.54,2.348118148,0.061119275,SPB13,0.22321822
df$group,4,126197.6546,31549.41364,2.3519988,0.0607679,MIP.3a,0.22321822
df$group,4,9685163.883,2421290.971,2.351702816,0.06079463,IGF.I.sR,0.22321822
df$group,4,2656352.242,664088.0604,2.339041294,0.061948935,RFX5,0.22408323
df$group,4,2298175.969,574543.9924,2.340787184,0.061788501,granzyme.A,0.22408323
df$group,4,636977767.7,159244441.9,2.342559917,0.061626017,Afamin,0.22408323
df$group,4,700255.8305,175063.9576,2.340179508,0.061844296,PRDX4,0.22408323
df$group,4,9710304963,2427576241,2.329627362,0.062821062,complement.factor.H.related.5,0.226695574
df$group,4,33343353.81,8335838.453,2.325070484,0.063247529,TPSN,0.227691105
df$group,4,526444.3371,131611.0843,2.319060675,0.06381431,ACAM.ECD,0.228101249
df$group,4,18226.53864,4556.63466,2.317111932,0.06399916,FAM3C,0.228101249
df$group,4,2876851382,719212845.5,2.315231334,0.064178043,DMP4,0.228101249
df$group,4,144249.4484,36062.3621,2.316416832,0.064065221,paraoxonase.1,0.228101249
df$group,4,6557661.852,1639415.463,2.314302001,0.064266622,DAPK2,0.228101249
df$group,4,1292443.745,323110.9363,2.320271513,0.063699718,FAM3B,0.228101249
df$group,4,66737.8594,16684.46485,2.312290773,0.064458731,Caspase.8,0.22824731
df$group,4,18765918657,4691479664,2.306418978,0.065022817,PF.4,0.229706773
df$group,4,608800.2899,152200.0725,2.304270063,0.065230462,RHG01.CRAL.TRIO,0.229903166
df$group,4,44675.97307,11168.99327,2.299015071,0.065740977,SSAT.1,0.231163621
df$group,4,87721.539,21930.38475,2.295158881,0.066118085,CF126,0.231950218
df$group,4,50406.99147,12601.74787,2.290030495,0.066622884,ALK.1,0.233180093
df$group,4,233974.533,58493.63325,2.27779863,0.067842156,Maspin,0.235082139
df$group,4,14484695.16,3621173.791,2.275238101,0.068100136,IL.6.sRa,0.235082139
df$group,4,176925.8096,44231.45241,2.27370886,0.068254669,DESI1,0.235082139
df$group,4,966486691.6,241621672.9,2.276649437,0.067957822,VILI,0.235082139
df$group,4,59872487.37,14968121.84,2.276496889,0.06797319,I.TAC,0.235082139
df$group,4,50925.97543,12731.49386,2.277885212,0.067833449,AGR2,0.235082139
df$group,4,16122.7638,4030.690949,2.275548862,0.068068775,tau,0.235082139
df$group,4,12022.92764,3005.731909,2.269487833,0.068682991,PKC.D,0.236019732
df$group,4,9810301.683,2452575.421,2.261482536,0.069502541,MMP.12,0.238294425
df$group,4,1042211.586,260552.8966,2.256460543,0.070021539,GRB2.related.adapter.protein.2,0.239530694
df$group,4,495209387.4,123802346.8,2.25334428,0.07034549,Protease.nexin.I,0.240095668
df$group,4,735044.9593,183761.2398,2.24356033,0.071372118,SDHB,0.240966432
df$group,4,246842.92,61710.72999,2.243320545,0.071397461,Karyopherin.a2,0.240966432
df$group,4,2966755060,741688764.9,2.24727429,0.070980702,Ck.b.8.1,0.240966432
df$group,4,1287400.342,321850.0854,2.24621469,0.07109216,Lamin.B1,0.240966432
df$group,4,601835.423,150458.8557,2.247687128,0.070937323,IL.11,0.240966432
df$group,4,17981606.92,4495401.731,2.23863038,0.071894942,FCG3B,0.242105017
df$group,4,3777718638,944429659.5,2.233832663,0.07240733,RAB3C,0.24328863
df$group,4,91441343.21,22860335.8,2.228456453,0.072985733,TXNDC4,0.244688311
df$group,4,30215.48563,7553.871408,2.223408995,0.073532866,SORT,0.244893599
df$group,4,124231.8977,31057.97444,2.223482159,0.073524907,HIF3A,0.244893599
df$group,4,890699777.8,222674944.5,2.226316977,0.073217161,Angiopoietin.1,0.244893599
df$group,4,272880.4883,68220.12207,2.219956176,0.073909446,PP13,0.245068163
df$group,4,3072563.539,768140.8847,2.220826206,0.07381438,Ephrin.A5,0.245068163
df$group,4,16150799.67,4037699.916,2.214801259,0.074475165,GIPC2,0.246403608
df$group,4,113169910.4,28292477.6,2.211032244,0.074891458,Mn.SOD,0.247239924
df$group,4,66299.13067,16574.78267,2.206769399,0.075365029,MEPE.1,0.248261273
df$group,4,28946297.08,7236574.27,2.202942919,0.075792607,ROBO1,0.249127004
df$group,4,896850.3361,224212.584,2.194932583,0.076695361,SEM6D,0.249964368
df$group,4,410903.3142,102725.8285,2.193851689,0.076817975,TSC2,0.249964368
df$group,4,18421258.39,4605314.597,2.19190502,0.077039283,ENTP5,0.249964368
df$group,4,66110074.02,16527518.5,2.192140188,0.077012515,ALCAM,0.249964368
df$group,4,15847.29558,3961.823896,2.191907155,0.07703904,HPLN4,0.249964368
df$group,4,4387.961013,1096.990253,2.195754327,0.076602272,SOSD1,0.249964368
df$group,4,5221548.595,1305387.149,2.185005213,0.077828699,ADA,0.251286068
df$group,4,86536418.17,21634104.54,2.185245343,0.077801094,BMP.1,0.251286068
df$group,4,700597.906,175149.4765,2.182550761,0.07811141,TBK1,0.251286068
df$group,4,2116498.125,529124.5313,2.183156321,0.078041567,Vitronectin,0.251286068
df$group,4,1295.517576,323.8793941,2.180974953,0.078293443,IFN.aA,0.251336912
df$group,4,1240004.456,310001.114,2.175265939,0.078956395,ATS1,0.252928113
df$group,4,457231748.3,114307937.1,2.173625623,0.079147882,TGF.b.R.III,0.253005493
df$group,4,2272.750488,568.1876221,2.166914372,0.079936057,NA..5,0.254985904
df$group,4,1768892.979,442223.2447,2.162428824,0.080467093,SMAC,0.256139464
df$group,4,74706983.03,18676745.76,2.151633327,0.081759251,KAT5,0.259705856
df$group,4,74154190.64,18538547.66,2.146311337,0.08240366,PPIC,0.261204056
df$group,4,100879122.5,25219780.63,2.142853924,0.08282494,ARGI1,0.261990186
df$group,4,33866080.29,8466520.072,2.138748725,0.083327867,CTGF,0.262482782
df$group,4,4530796.499,1132699.125,2.13984234,0.0831936,Chymase,0.262482782
df$group,4,34102654.98,8525663.745,2.133540109,0.083970244,IL.18.Ra,0.263956359
df$group,4,99838841.73,24959710.43,2.125747747,0.084940257,CD36.ANTIGEN,0.266451595
df$group,4,15277769.57,3819442.393,2.11787567,0.085931231,Coagulation.Factor.X,0.269002115
df$group,4,3085874.913,771468.7281,2.11223282,0.086648471,GRIA4,0.269622162
df$group,4,30437.14219,7609.285547,2.114470591,0.086363345,FGF9,0.269622162
df$group,4,640301981.8,160075495.4,2.111698953,0.086716629,DAG1,0.269622162
df$group,4,2369492.586,592373.1464,2.110713401,0.086842588,Corticotropin.lipotropin,0.269622162
df$group,4,803122839.9,200780710,2.102660044,0.087878525,AR6P1,0.272279363
df$group,4,151560509.1,37890127.28,2.100538153,0.08815346,Aminoacylase.1,0.272572661
df$group,4,33523844.98,8380961.245,2.090781362,0.089428419,STK4,0.275950551
df$group,4,571166.1746,142791.5436,2.084858852,0.09021103,H6ST3,0.276783723
df$group,4,1175371.081,293842.7701,2.085612829,0.090111031,TM221,0.276783723
df$group,4,242093.2507,60523.31267,2.084583301,0.090247603,HO.2,0.276783723
df$group,4,208388.681,52097.17025,2.071110888,0.092053354,Soggy.1,0.280552477
df$group,4,57789795.22,14447448.81,2.072864516,0.091816345,VCAM.1,0.280552477
df$group,4,3159659.213,789914.8032,2.069890532,0.092218638,Azurocidin.1,0.280552477
df$group,4,174301.6915,43575.42287,2.07108743,0.092056528,NCK1,0.280552477
df$group,4,8281944940,2070486235,2.068286128,0.092436375,Catalase,0.280650199
df$group,4,36663.87081,9165.967701,2.058037641,0.093838994,LIN7C,0.284007742
df$group,4,1039948.348,259987.0871,2.054747922,0.094293576,SYFM,0.284007742
df$group,4,22599368.11,5649842.028,2.0569864,0.093984027,a2.Antiplasmin,0.284007742
df$group,4,472502.372,118125.593,2.055298948,0.094217286,CCKN,0.284007742
df$group,4,1404393.837,351098.4592,2.051182511,0.094788657,HXK1,0.28493131
df$group,4,1582948.219,395737.0548,2.045527376,0.095579065,SPINT2,0.286274748
df$group,4,1941755.433,485438.8583,2.045276684,0.095614251,Glucagon,0.286274748
df$group,4,1642307.005,410576.7512,2.041881782,0.096091975,Keratin.19,0.286570151
df$group,4,24037907.24,6009476.809,2.043085029,0.095922393,ESAM,0.286570151
df$group,4,5279326.589,1319831.647,2.031318177,0.097593256,CSRP3,0.290474417
df$group,4,16821239.03,4205309.758,2.020098097,0.099212622,CLGN,0.293469401
df$group,4,6013134.45,1503283.612,2.018976744,0.099375882,CDCP1,0.293469401
df$group,4,50668388.83,12667097.21,2.021134301,0.09906199,C3b,0.293469401
df$group,4,1488123.354,372030.8384,2.022817139,0.098817826,PBEF,0.293469401
df$group,4,639520.9808,159880.2452,2.01714124,0.099643675,NUCB2,0.293686622
df$group,4,2418405.483,604601.3708,2.015133914,0.099937334,LRP1B,0.293979082
df$group,4,16784233.6,4196058.4,2.010068709,0.100682053,IGF.II.receptor,0.295594688
df$group,4,3736122804,934030701,2.003499078,0.101655936,ANGL3,0.297875532
df$group,4,280378775.5,70094693.86,1.993510904,0.103153994,BiP,0.300517993
df$group,4,37248886.11,9312221.528,1.99517327,0.1029032,IL.18.BPa,0.300517993
df$group,4,434057.6214,108514.4054,1.993911846,0.103093452,THOC1,0.300517993
df$group,4,178453.7969,44613.44923,1.989402357,0.103776359,dopa.decarboxylase,0.30174972
df$group,4,693749.3174,173437.3293,1.986057014,0.104285782,CRTAM,0.302648948
df$group,4,383798.8343,95949.70857,1.975285599,0.105942435,NLGN1,0.306428537
df$group,4,155909293.5,38977323.39,1.974956358,0.105993469,a2.Macroglobulin,0.306428537
df$group,4,151593992.2,37898498.05,1.969940318,0.106773913,PA1,0.307601894
df$group,4,16057115,4014278.751,1.969733483,0.106806213,Bcl.2,0.307601894
df$group,4,746227.2701,186556.8175,1.966782762,0.107268028,Growth.hormone.receptor,0.307759502
df$group,4,15050436.21,3762609.053,1.967224041,0.107198842,C2,0.307759502
df$group,4,47169758.3,11792439.58,1.965062957,0.107538077,Met,0.307949949
df$group,4,49096.11106,12274.02776,1.957859671,0.108676279,TLR3,0.310568116
df$group,4,65042.97249,16260.74312,1.956683886,0.108863162,P85A,0.310568116
df$group,4,728216933.6,182054233.4,1.953261606,0.109408869,coagulation.factor.XIII.B,0.311537118
df$group,4,3207203.984,801800.9961,1.943276053,0.111016191,Endoglin,0.3155197
df$group,4,2079965262,519991315.5,1.938576035,0.11178055,HSP.60,0.317096044
df$group,4,446722.9801,111680.745,1.936366908,0.11214156,SDF2L,0.317524417
df$group,4,40788342.06,10197085.51,1.93285184,0.11271829,HEM4,0.31856085
df$group,4,9381443966,2345360992,1.928495728,0.113436962,Phosphoglycerate.mutase.1,0.319397925
df$group,4,80040.27067,20010.06767,1.929112855,0.113334882,BAMBI.ECD.1,0.319397925
df$group,4,296590.9116,74147.7279,1.923619427,0.114246665,TWEAK,0.321079846
df$group,4,38349.87426,9587.468566,1.918677544,0.115072908,CEBPG,0.322707907
df$group,4,107288628.9,26822157.21,1.917605949,0.115252824,TNF.sR.II,0.322707907
df$group,4,822934500.8,205733625.2,1.916300972,0.115472287,TIMP.1,0.322724766
df$group,4,35538.45833,8884.614582,1.909424075,0.116635433,TNR4,0.325374124
df$group,4,116475433.1,29118858.27,1.90123851,0.11803455,Endostatin,0.32867079
df$group,4,3423294602,855823650.4,1.893778194,0.11932368,STK24,0.331649639
df$group,4,1014404.452,253601.113,1.889545,0.120061145,ENPP5,0.333087068
df$group,4,924756.5553,231189.1388,1.880923277,0.121576634,CBS,0.336058263
df$group,4,24776346.8,6194086.699,1.881932457,0.121398304,DCAK1,0.336058263
df$group,4,18351.00839,4587.752097,1.878733971,0.12196436,AMNLS,0.336514804
df$group,4,3642893.04,910723.2601,1.87473608,0.122675438,CDK8.cyclin.C,0.337860222
df$group,4,3986591608,996647901.9,1.870728682,0.123392178,MMP.1,0.339216316
df$group,4,6454.66933,1613.667333,1.86928154,0.123651987,IL.12,0.33931362
df$group,4,89407339.43,22351834.86,1.867765326,0.123924757,XTP3A,0.339446073
df$group,4,2023453.124,505863.281,1.848015381,0.127530661,EGF.CD,0.348062021
df$group,4,143070.942,35767.73549,1.8485048,0.127440107,G.CSF.R,0.348062021
df$group,4,156560049.6,39140012.4,1.840080809,0.129007317,CM35H,0.351457771
df$group,4,203077307.7,50769326.92,1.834941187,0.129972496,ELA2A,0.353450384
df$group,4,7501896.343,1875474.086,1.832974241,0.130343688,AIF,0.35382344
df$group,4,41391.23504,10347.80876,1.829671177,0.130969296,G6B.CD,0.354884544
df$group,4,2514704450,628676112.5,1.824991242,0.13186058,PKC.A,0.35666046
df$group,4,138473.6488,34618.41219,1.822703493,0.132298374,G.CSF.1,0.357205609
df$group,4,410530498.4,102632624.6,1.820689968,0.132684834,PRL.1,0.357610462
df$group,4,117119369.6,29279842.4,1.817632991,0.133273619,CD5.ECD,0.358558206
df$group,4,89266682.96,22316670.74,1.814742964,0.133832532,FCN1,0.359422358
df$group,4,783669108.1,195917277,1.804688847,0.135794333,SDF.1,0.364044383
df$group,4,12253240.87,3063310.218,1.802337722,0.136257019,NA..3,0.364106463
df$group,4,20862762.19,5215690.548,1.802124199,0.136299113,PSA6,0.364106463
df$group,4,4443720.096,1110930.024,1.79752554,0.137208693,IL.10.Ra,0.365889848
df$group,4,316571.3375,79142.83437,1.794585999,0.137793127,MIG,0.366801422
df$group,4,5604147.356,1401036.839,1.785000645,0.139715313,Cathepsin.D,0.371264592
df$group,4,110727652.1,27681913.03,1.782043731,0.140313385,JAK2,0.371602319
df$group,4,252008348.3,63002087.08,1.781942297,0.140333945,IF3M,0.371602319
df$group,4,2663885676,665971419,1.780121541,0.140703472,MIC.1,0.371929459
df$group,4,16944415.41,4236103.853,1.776151097,0.141512485,Coagulation.Factor.Xa,0.373415143
df$group,4,1983931.68,495982.92,1.773067415,0.142143849,TSLP,0.3744277
df$group,4,74545.4846,18636.37115,1.771738894,0.142416677,CRIS3,0.374493939
df$group,4,3532426262,883106565.5,1.766113849,0.143577348,ON,0.376890537
df$group,4,4676982855,1169245714,1.757632579,0.145344304,STAT1,0.377650818
df$group,4,307959003.1,76989750.78,1.761253579,0.144587417,RHOC,0.377650818
df$group,4,2275480.206,568870.0514,1.757530989,0.145365593,CAD13,0.377650818
df$group,4,586256.8258,146564.2065,1.763054627,0.144212339,NF2L2,0.377650818
df$group,4,39935452.42,9983863.104,1.76004855,0.144838886,ADA22,0.377650818
df$group,4,6636135.39,1659033.848,1.758741792,0.145112051,IL.22BP,0.377650818
df$group,4,56083.40539,14020.85135,1.750495153,0.146847199,Galanin,0.380164663
df$group,4,16775501.37,4193875.343,1.749224717,0.147116244,VEGF.sR3,0.380164663
df$group,4,2303988899,575997224.7,1.747965848,0.147383298,M.CSF.R.1,0.380164663
df$group,4,490781291.6,122695322.9,1.746988308,0.147590988,IGFBP.6.1,0.380164663
df$group,4,169909.3528,42477.3382,1.751014554,0.146737338,PLCG1,0.380164663
df$group,4,582453.8873,145613.4718,1.745809469,0.147841813,ITM2B,0.380164663
df$group,4,115629.084,28907.27101,1.741854606,0.148686246,AURKB,0.381686933
df$group,4,1585676522,396419130.4,1.738400234,0.149427538,PNPT1,0.382924777
df$group,4,6799.202721,1699.80068,1.73725085,0.149674962,Gastrin.releasing.peptide,0.382924777
df$group,4,34733450.55,8683362.637,1.734964805,0.150168222,Fas..soluble,0.383537757
df$group,4,1813072489,453268122.3,1.726564558,0.151993943,ARC1B,0.386243431
df$group,4,2347426718,586856679.6,1.727741142,0.151736968,Cyclophilin.F,0.386243431
df$group,4,109573929.1,27393482.27,1.727160805,0.151863667,CD2,0.386243431
df$group,4,55066.18997,13766.54749,1.718928557,0.153671696,EHBP1,0.389851684
df$group,4,4491558088,1122889522,1.715721981,0.15438142,PARK7,0.390460599
df$group,4,79616.13725,19904.03431,1.714784399,0.154589521,BL1S6,0.390460599
df$group,4,7562737320,1890684330,1.714348138,0.154686441,Kininogen..HMW,0.390460599
df$group,4,7844.882733,1961.220683,1.710222762,0.155605773,BAP1,0.392126547
df$group,4,3674022529,918505632.2,1.703262692,0.157168472,Factor.H,0.39540554
df$group,4,16296496.32,4074124.08,1.699835914,0.157943275,CSMD2,0.396694737
df$group,4,13634424.74,3408606.186,1.695503144,0.158928064,ACSF2,0.398506191
df$group,4,632411.5571,158102.8893,1.690740486,0.160017216,BLC,0.400572899
df$group,4,32412.77808,8103.19452,1.688630358,0.16050201,TPD53,0.400829378
df$group,4,377421.6797,94355.41991,1.68741885,0.160780972,IRF5,0.400829378
df$group,4,10057.25813,2514.314533,1.686837617,0.160914969,RNase.H1,0.400829378
df$group,4,5820236.557,1455059.139,1.682578703,0.161900012,FKB1B,0.400848093
df$group,4,310647.4285,77661.85714,1.682941452,0.161815892,CD26,0.400848093
df$group,4,398809402.1,99702350.52,1.682221327,0.161982927,hnRNP.A2.B1,0.400848093
df$group,4,27514871.69,6878717.923,1.685086224,0.161319365,LIRA5,0.400848093
df$group,4,1934438.569,483609.6422,1.679722359,0.162563822,sICAM.3,0.401454492
df$group,4,8669117.119,2167279.28,1.678884612,0.162758997,PCYXL,0.401454492
df$group,4,5620336.623,1405084.156,1.676817879,0.163241436,ERN1,0.401988683
df$group,4,397800.8813,99450.22033,1.672050287,0.164359457,IL.8,0.403427757
df$group,4,2848719027,712179756.7,1.672492994,0.164255339,GRB2.adapter.protein,0.403427757
df$group,4,4651046.01,1162761.503,1.66762345,0.16540399,FBLN3,0.405333602
df$group,4,1135878565,283969641.3,1.664176962,0.166221506,NCC27,0.406677859
df$group,4,14578914.78,3644728.695,1.658565006,0.167560777,MTDC,0.409292237
df$group,4,85593.67939,21398.41985,1.656826847,0.167977625,RGM.C,0.40964866
df$group,4,173168.9631,43292.24078,1.654612634,0.168510047,CEAM4,0.410285332
df$group,4,6349445.192,1587361.298,1.647181792,0.170308397,DCNL1,0.41399726
df$group,4,6333055.539,1583263.885,1.645450038,0.170730071,BMPER,0.414356127
df$group,4,147277.6661,36819.41652,1.639400736,0.172210713,calreticulin,0.417279805
df$group,4,3249047.439,812261.8598,1.636096615,0.173024492,FABP2,0.417923036
df$group,4,414537.9126,103634.4781,1.634138844,0.173508367,BAMBI.ECD,0.417923036
df$group,4,319373.0138,79843.25346,1.63384222,0.17358179,PSF1,0.417923036
df$group,4,1658238931,414559732.7,1.63427014,0.173475877,a1.Antitrypsin,0.417923036
df$group,4,3840636270,960159067.5,1.632132042,0.174005671,Coagulation.Factor.VII,0.418277543
df$group,4,47514.46339,11878.61585,1.628781073,0.174839037,RABEK,0.419204057
df$group,4,7089879.843,1772469.961,1.626838122,0.175323939,BCMA,0.419204057
df$group,4,19063.03092,4765.757731,1.628264561,0.17496782,HEM0,0.419204057
df$group,4,2286769.918,571692.4794,1.626133461,0.175500111,Nidogen,0.419204057
df$group,4,21771061.81,5442765.451,1.616871584,0.177831054,sRAGE,0.42410182
df$group,4,524.5411733,131.1352933,1.615695865,0.178129002,NA..9,0.424143387
df$group,4,74176.11937,18544.02984,1.614550415,0.178419726,RM28,0.42416765
df$group,4,11891756165,2972939041,1.612830809,0.178857004,HEM3,0.424539702
df$group,4,48071.40604,12017.85151,1.610083057,0.1795578,SP.B,0.425535099
df$group,4,41906999.78,10476749.94,1.606532018,0.180467252,IR,0.427021104
df$group,4,732311802,183077950.5,1.60521319,0.180806105,NCAM1,0.427154423
df$group,4,583662.6514,145915.6628,1.600593549,0.181997722,DNER.ECD,0.429298838
df$group,4,627482164.5,156870541.1,1.594217093,0.18365449,Peroxiredoxin.3,0.432532071
df$group,4,441055.7085,110263.9271,1.58773943,0.185351883,BMP.14,0.435850774
df$group,4,122121959.7,30530489.92,1.583204037,0.186548977,GBRAP,0.437305509
df$group,4,40348976.44,10087244.11,1.583581349,0.186449115,Uromodulin,0.437305509
df$group,4,44548926.13,11137231.53,1.577099865,0.188171458,MEPE,0.439745354
df$group,4,181787.1176,45446.77941,1.577239814,0.188134113,B7.H2,0.439745354
df$group,4,70969.81513,17742.45378,1.57346902,0.189142722,SSRB,0.440660347
df$group,4,15660920.8,3915230.201,1.573457255,0.189145876,PTPRD,0.440660347
df$group,4,5204465.281,1301116.32,1.570572595,0.189920851,Lipocalin.2,0.441785119
df$group,4,15336.93796,3834.234491,1.566329574,0.191066096,PSA3,0.442278252
df$group,4,50216438.57,12554109.64,1.565455196,0.191302895,IMPCT,0.442278252
df$group,4,69941185.39,17485296.35,1.566156729,0.191112885,Tenascin,0.442278252
df$group,4,165927263.9,41481815.97,1.567036511,0.190874843,Protein.disulfide.isomerase.A3,0.442278252
df$group,4,782749257.9,195687314.5,1.561003651,0.19251267,CYBP,0.443250401
df$group,4,248669862.6,62167465.65,1.560672848,0.192602853,SMAD5,0.443250401
df$group,4,13450740.6,3362685.151,1.560949086,0.192527543,AT1B2,0.443250401
df$group,4,4148237.46,1037059.365,1.556939218,0.193623414,FST,0.444921888
df$group,4,36591603.58,9147900.895,1.552009598,0.194978543,BGLR,0.447355928
df$group,4,152076.8768,38019.21921,1.535880944,0.199473618,XEDAR,0.456975925
df$group,4,41302.4379,10325.60948,1.533338328,0.2001909,Arginase,0.457925326
df$group,4,1293367.07,323341.7675,1.531013903,0.200848706,PGRC2,0.458736017
df$group,4,427624.002,106906.0005,1.529663989,0.20123164,GABR2.ECD,0.458917406
df$group,4,45284.93026,11321.23257,1.528250652,0.201633286,CATC.1,0.459140856
df$group,4,18306.49999,4576.624997,1.522518913,0.203269716,TLR4,0.461805435
